,sil_val,cluster
TCGA-2K-A9WE,0.06796762834272353,3
TCGA-2Z-A9J1,0.5705098501138188,1
TCGA-2Z-A9J2,0.4102624460152425,1
TCGA-2Z-A9J3,0.43445916874511026,1
TCGA-2Z-A9J5,0.752054285389406,2
TCGA-2Z-A9J6,0.49365157363549234,1
TCGA-2Z-A9J7,0.32566458464295395,1
TCGA-2Z-A9J8,0.48098876804797513,3
TCGA-2Z-A9JD,0.5495112980025021,1
TCGA-2Z-A9JE,0.3404017796234036,1
TCGA-2Z-A9JG,0.5480502099691412,3
TCGA-2Z-A9JI,0.5178314952265998,3
TCGA-2Z-A9JJ,0.41065164926708386,3
TCGA-2Z-A9JK,0.5494516762106029,3
TCGA-2Z-A9JL,0.5912530920575295,3
TCGA-2Z-A9JM,0.554177728729406,1
TCGA-2Z-A9JP,0.5819556895345681,1
TCGA-2Z-A9JQ,0.5825902693618757,1
TCGA-2Z-A9JR,0.1960481627321338,3
TCGA-2Z-A9JS,0.5707396914438949,1
TCGA-2Z-A9JT,0.576758531599291,1
TCGA-4A-A93W,0.5538727900261613,1
TCGA-4A-A93X,0.5147025067828609,3
TCGA-5P-A9JU,0.3870516656822506,3
TCGA-5P-A9JV,0.4176058338389311,2
TCGA-5P-A9JW,0.3528269125980781,3
TCGA-5P-A9JY,-0.10522955269505034,1
TCGA-5P-A9JZ,0.5475522166349684,1
TCGA-5P-A9K0,0.581000322247976,1
TCGA-5P-A9K2,0.4885361983872246,1
TCGA-5P-A9K3,0.4790673398472052,3
TCGA-5P-A9K4,0.4820758250202556,1
TCGA-5P-A9K6,0.5741794032196481,1
TCGA-5P-A9K8,0.5490314498339238,3
TCGA-5P-A9K9,0.5921194974499394,3
TCGA-5P-A9KA,-0.1630858893615874,1
TCGA-5P-A9KC,-0.13612296895506584,1
TCGA-5P-A9KE,0.583781364529676,1
TCGA-5P-A9KH,0.3782176017483146,2
TCGA-A4-7286,0.5554307637540077,3
TCGA-A4-7287,0.47506111968483433,3
TCGA-A4-7288,0.5823636384657275,1
TCGA-A4-7583,0.5555996730077203,3
TCGA-A4-7584,0.573969852022219,1
TCGA-A4-7585,0.2154529860204045,3
TCGA-A4-7732,0.5475738513634477,1
TCGA-A4-7734,0.5514463125467989,1
TCGA-A4-7915,0.5466083991504926,1
TCGA-A4-7996,0.5641610602662661,1
TCGA-A4-7997,0.47121250409040194,3
TCGA-A4-8098,0.5386888874916759,3
TCGA-A4-8310,0.18408147036247258,1
TCGA-A4-8311,0.4913291535172227,1
TCGA-A4-8515,0.4981727593431212,1
TCGA-A4-8516,0.1376232721239826,3
TCGA-A4-8517,0.27772986875996764,1
TCGA-A4-8518,0.47950292878138495,1
TCGA-A4-8630,0.49256056161765854,1
TCGA-A4-A48D,0.2847131425456621,3
TCGA-A4-A4ZT,0.7459678311763159,2
TCGA-A4-A57E,0.29634975924573276,3
TCGA-A4-A5DU,0.7518978727236649,2
TCGA-A4-A5XZ,0.6126995571529916,2
TCGA-A4-A5Y0,0.3823523913874453,2
TCGA-A4-A5Y1,0.5519748232193029,3
TCGA-A4-A6HP,0.5488646618995173,1
TCGA-A4-A772,0.4878739703469078,1
TCGA-A4-A7UZ,0.3282646240783858,1
TCGA-AL-3466,0.5628592144874334,3
TCGA-AL-3468,0.4608814708713353,1
TCGA-AL-3471,0.7417331831876053,2
TCGA-AL-3472,0.556100941877879,1
TCGA-AL-3473,0.5511818023845173,3
TCGA-AL-7173,0.512956959917653,3
TCGA-AL-A5DJ,0.5443134801965805,3
TCGA-AT-A5NU,0.7516782277791036,2
TCGA-B1-5398,0.43603602255804436,3
TCGA-B1-7332,0.5015513864488019,3
TCGA-B1-A47M,0.4927714053319606,1
TCGA-B1-A47N,0.5563455684003707,1
TCGA-B1-A47O,0.5360303047017602,1
TCGA-B1-A654,0.5531584067201376,1
TCGA-B1-A655,0.28214777879165087,3
TCGA-B1-A656,0.4222718765673121,3
TCGA-B1-A657,0.355822578642018,2
TCGA-B3-3925,0.5480685229884142,1
TCGA-B3-3926,0.5783119369027533,3
TCGA-B3-4103,0.49423551432290797,1
TCGA-B3-4104,0.006414994562081477,3
TCGA-B3-8121,0.5763169359291688,1
TCGA-B3-A6W5,0.7452301586984915,2
TCGA-B9-4113,0.5609239317217249,1
TCGA-B9-4114,0.4799726313590414,1
TCGA-B9-4115,0.5631499619448685,1
TCGA-B9-4116,0.5454906137605828,3
TCGA-B9-4117,0.33903818672465935,3
TCGA-B9-4617,0.4536994361744203,1
TCGA-B9-5155,0.4940311322637438,1
TCGA-B9-5156,0.4910166067605538,1
TCGA-B9-7268,0.5020596700331785,1
TCGA-B9-A44B,0.33378096283016434,3
TCGA-B9-A5W7,0.5347558942079766,1
TCGA-B9-A5W8,0.5680417785913521,3
TCGA-B9-A5W9,0.12172806803568792,3
TCGA-B9-A69E,0.4590184210927429,3
TCGA-B9-A8YH,0.4526168629533622,1
TCGA-B9-A8YI,0.4150568439732732,3
TCGA-BQ-5875,0.295286144624615,2
TCGA-BQ-5876,0.527147761276297,3
TCGA-BQ-5877,0.27365214401296056,3
TCGA-BQ-5878,0.480363859529326,2
TCGA-BQ-5879,0.5375805972718755,3
TCGA-BQ-5880,0.34949094060494656,3
TCGA-BQ-5881,0.489420417587725,1
TCGA-BQ-5882,0.4237426731110101,3
TCGA-BQ-5884,0.5927002574370998,3
TCGA-BQ-5885,0.5498836321379428,3
TCGA-BQ-5886,0.4833224678447945,1
TCGA-BQ-5887,0.11746351139833155,3
TCGA-BQ-5888,0.4058700937282929,3
TCGA-BQ-5889,0.529223398022723,3
TCGA-BQ-5890,0.28577515687803273,3
TCGA-BQ-5891,0.27520765426022187,3
TCGA-BQ-5892,0.3839920272203448,3
TCGA-BQ-5893,0.5221879887138213,2
TCGA-BQ-5894,0.5839059794209104,3
TCGA-BQ-7044,0.4817114563388307,3
TCGA-BQ-7045,0.4938465414324393,1
TCGA-BQ-7046,0.7514209354577792,2
TCGA-BQ-7048,0.37286438428856444,3
TCGA-BQ-7051,0.5809095814254671,1
TCGA-BQ-7053,0.5508882181810777,1
TCGA-BQ-7055,0.482555986152894,3
TCGA-BQ-7056,0.4638186051714333,3
TCGA-BQ-7058,0.5440503498217537,1
TCGA-BQ-7059,0.5920729105510267,3
TCGA-BQ-7060,0.48537595234900843,1
TCGA-BQ-7061,0.5941125226258607,3
TCGA-BQ-7062,0.48771244721132634,1
TCGA-DW-5560,0.22673863354111262,1
TCGA-DW-5561,0.48942196119291853,2
TCGA-DW-7834,0.5761964412387438,1
TCGA-DW-7836,0.5024427395144024,1
TCGA-DW-7837,0.44949804955892414,1
TCGA-DW-7838,0.06339610564239158,3
TCGA-DW-7839,0.5439026228026312,1
TCGA-DW-7840,0.5551518505956647,1
TCGA-DW-7841,0.5477033436089903,1
TCGA-DW-7842,0.5462102435302045,1
TCGA-DW-7963,0.49631942281927455,1
TCGA-DZ-6131,0.4813751739084004,3
TCGA-DZ-6132,0.24128984140182144,3
TCGA-DZ-6133,0.7459497984471909,2
TCGA-DZ-6134,0.5751832797960975,1
TCGA-DZ-6135,-0.14544645972432044,1
TCGA-EV-5901,0.44973029826100297,1
TCGA-EV-5902,0.4348593200919224,3
TCGA-EV-5903,0.5818566426165807,1
TCGA-F9-A4JJ,0.582947147951158,3
TCGA-F9-A7Q0,0.5859918680328237,3
TCGA-F9-A7VF,0.49769780305185557,1
TCGA-F9-A8NY,0.5464576437689982,2
TCGA-F9-A97G,0.43643392673739906,3
TCGA-G7-6789,0.5958372773442716,3
TCGA-G7-6790,0.7563899223659372,2
TCGA-G7-6792,0.47142896506170623,2
TCGA-G7-6793,0.44579232471867625,3
TCGA-G7-6795,0.497671256782698,2
TCGA-G7-6796,0.352552598090957,3
TCGA-G7-6797,0.4671395093415603,3
TCGA-G7-7501,0.5537722833993952,3
TCGA-G7-7502,0.5250354338953268,3
TCGA-G7-A4TM,0.5538068340527036,1
TCGA-G7-A8LB,0.4975938873761562,1
TCGA-G7-A8LC,0.5980946198793063,3
TCGA-G7-A8LD,0.5141522922419827,3
TCGA-G7-A8LE,0.5475199551541284,1
TCGA-GL-6846,0.30485449663700454,1
TCGA-GL-7773,0.46327717110634736,3
TCGA-GL-7966,0.5961042824100952,3
TCGA-GL-8500,0.5547467068973999,3
TCGA-GL-A4EM,0.13712180777040855,3
TCGA-GL-A59R,0.5515333867899846,1
TCGA-GL-A59T,0.7523931942781302,2
TCGA-GL-A9DC,0.5756801368949213,1
TCGA-GL-A9DD,0.4858703914379495,1
TCGA-GL-A9DE,0.5410115865078619,3
TCGA-HE-7128,0.06415949457574177,3
TCGA-HE-7129,0.4206872453553762,1
TCGA-HE-7130,0.5709438336243496,3
TCGA-HE-A5NF,0.7475330039167614,2
TCGA-HE-A5NH,0.5457281576921453,1
TCGA-HE-A5NI,0.75073800871226,2
TCGA-HE-A5NJ,0.5495361020895869,1
TCGA-HE-A5NK,0.5899769892471302,3
TCGA-HE-A5NL,0.4947097412170949,1
TCGA-IA-A40U,0.3149534491784293,3
TCGA-IA-A40X,0.41174597919352696,3
TCGA-IA-A40Y,0.6000547378553839,3
TCGA-IA-A83S,-0.13732089344061246,1
TCGA-IA-A83T,0.5535856852390495,1
TCGA-IA-A83V,0.5704261546777868,1
TCGA-IA-A83W,-0.14695687612535926,1
TCGA-IZ-8195,0.5655486338255074,1
TCGA-IZ-8196,0.5585222297070684,1
TCGA-IZ-A6M8,0.5772775980015166,1
TCGA-IZ-A6M9,0.5739819218783379,1
TCGA-J7-6720,0.5392774159206158,1
TCGA-J7-8537,0.19965268199108444,3
TCGA-J7-A8I2,0.5505663199827444,1
TCGA-KV-A6GD,0.14045059289740475,3
TCGA-KV-A6GE,0.7514842852798884,2
TCGA-KV-A74V,0.7579938951600022,2
TCGA-MH-A55W,0.6961523500488761,2
TCGA-MH-A55Z,0.5528786109413766,1
TCGA-MH-A560,0.5728090461821628,1
TCGA-MH-A561,0.5404991736737775,1
TCGA-MH-A562,0.5512297564967193,1
TCGA-MH-A854,0.508047615070236,3
TCGA-MH-A855,0.3407485197183514,2
TCGA-O9-A75Z,0.5563441349932001,1
TCGA-P4-A5E6,0.28986025652529623,3
TCGA-P4-A5E7,0.49879639300233014,1
TCGA-P4-A5E8,0.5280539724406507,2
TCGA-P4-A5EA,0.5716223709035685,3
TCGA-P4-A5EB,0.36608134112444407,3
TCGA-P4-AAVK,0.3502761284382541,3
TCGA-P4-AAVL,0.4141356736872183,1
TCGA-P4-AAVM,-0.12165704372005412,1
TCGA-P4-AAVO,0.472621858370355,3
TCGA-PJ-A5Z8,0.5697991016421248,3
TCGA-PJ-A5Z9,0.7467087961555181,2
TCGA-Q2-A5QZ,0.5966825166438711,3
TCGA-SX-A71R,0.5737891966846002,1
TCGA-SX-A71S,0.5487593470630083,1
TCGA-SX-A71U,0.5842989562834354,1
TCGA-SX-A71V,0.6586184085848328,2
TCGA-SX-A7SL,0.2691519342374903,1
TCGA-SX-A7SM,0.6049344580899428,3
TCGA-SX-A7SN,0.5014014830912384,1
TCGA-SX-A7SP,0.5009374872258757,1
TCGA-SX-A7SQ,0.1551490192835358,3
TCGA-SX-A7SR,0.5652516931450238,1
TCGA-SX-A7SS,0.44808826206331537,1
TCGA-SX-A7SU,0.547827855826393,1
TCGA-UN-AAZ9,0.5719622834006629,3
TCGA-UZ-A9PJ,0.5453887003398707,1
TCGA-UZ-A9PK,0.75008942029138,2
TCGA-UZ-A9PL,0.5448068674874074,1
TCGA-UZ-A9PM,0.49213691997631986,1
TCGA-UZ-A9PN,0.4978362426678549,3
TCGA-UZ-A9PO,0.5827470339338681,1
TCGA-UZ-A9PP,0.25836817209434226,1
TCGA-UZ-A9PQ,0.43746027819083466,3
TCGA-UZ-A9PR,0.554114981987431,1
TCGA-UZ-A9PS,0.4336798722729319,1
TCGA-UZ-A9PU,0.49835262187366125,1
TCGA-UZ-A9PV,0.4948996970827974,1
TCGA-UZ-A9PX,0.576443034065556,1
TCGA-UZ-A9PZ,0.4896131978021907,1
TCGA-UZ-A9Q0,0.4871461806785408,1
TCGA-UZ-A9Q1,-0.1170692557066207,1
TCGA-V9-A7HT,0.7489921189579863,2
TCGA-WN-A9G9,0.5448506773452728,3
TCGA-WN-AB4C,0.5476673832143698,1
TCGA-Y8-A894,0.4909413431363633,3
TCGA-Y8-A895,0.5027880757303415,1
TCGA-Y8-A896,0.4402043845956724,3
TCGA-Y8-A897,0.3624567218703741,3
TCGA-Y8-A898,0.5695043868944737,1
TCGA-Y8-A8RY,0.5575903489693601,1
TCGA-Y8-A8RZ,0.3689213106759093,3
TCGA-Y8-A8S0,0.5754979852446029,1
TCGA-Y8-A8S1,0.42787406086072766,3
